,,"Iteration v5: Pain points collected from iterations v1, v2, v3 and v4 with the priotization system implemented.",,,,,,,
28,Portal,Memberships,Product,"The Sales Tax for the Regular Price reverts to ""No tax"" after adding an Income Category.",Customer,1,1,1,3
29,Portal,Memberships,Process,Customers can't duplicate add-ons.,Customer,1,1,2,4
30,Portal,Memberships,Support,Customers don’t understand how memberships work.,Customer,3,3,3,9
31,Portal,Memberships,Product,Customers can't link and trigger automatic discounts for users with a certain combination of memberships.,Customer,1,1,2,4
32,Portal,Memberships,Product,Customers can’t configure special memberships that can be purchased only once in a lifetime by a client.,Customer,1,1,2,4
33,Portal,Memberships,Support,Customers don't understand that the automatic renewal value cannot be less than the value of the next created invoice.,Customer,2,2,2,6
34,Portal,Memberships,Product,Customers can't create memberships for specific time periods because the system doesn't have an automatic truncate feature.,Customer,1,1,2,4
35,Portal,Credits,Product,"Customers don’t understand the ""Disabled"" default option used for the deduct period.",Customer,1,2,2,5
36,Portal,Credits,Support,Customers don’t understand how credits work.,Customer,3,3,3,9
37,Portal,Credits,Process,Customers usually forget to add credits when configuring memberships.,Customer,2,3,3,8
38,Portal,Credits,Process,Customers usually forget to add credits when configuring events.,Customer,2,3,3,8
39,Portal,Credits,Process,Customers usually forget to add credits when configuring products.,Customer,2,3,3,8
40,Portal,Financial,Support,Customers don't understand the differences between the types of invoices.,Customer,3,3,3,9
41,Portal,Financial,Support,Customers don't know how to process invoices.,Customer,3,3,2,8
42,Portal,Appointment Schedule & Schedule,Product,Customers can't synchronize the Schedule with the Appointment Schedule.,Customer,2,3,3,8
43,Portal,Appointment Schedule & Schedule,Support,Customers don't understand the difference between Schedule and Appointment Schedule.,Customer,3,3,3,9
44,Portal,Appointment Schedule & Schedule,Process,Customers add fixed Schedules incorrectly to the Appointment Schedule and vice versa.,Customer,3,3,3,9
45,Portal,Appointment Schedule,Product,Customers can't create widgets for the fixed Schedule as this option is only available in the Appointment Schedule.,Customer,1,1,2,4
46,Portal,Appointment Schedule,Support,"Customers don't understand the difference between ""category"" and ""activity"".",Customer,1,1,2,4
47,Portal,Appointment Schedule,Product,Customers can’t choose the location in the Appointment Schedule.,Customer,2,3,3,8
48,Portal,Appointment Schedule,Product,Customers can't set up daily recurrence when establishing a staff availability.,Customer,1,2,3,6
49,Portal,Schedule  ,Process,Customers must dismiss the same alert twice to edit the Credit Type value when scheduling a new event.,Customer,1,1,1,3
50,Portal,Schedule,Product,Customers can't limit the number of reschedules a client can make.,Customer,1,3,3,7
51,Portal,Schedule,Support,"Customers don't understand what ""Add guest""’ means.",Customer,1,1,1,3
52,Portal,Schedule,Process,Customers are not aware of the difference between the staff view and client view.,Customer,2,1,1,4
53,Portal,Schedule,Support,"Customers don't understand what ""recurrence"" means when creating a class.",Customer,2,1,2,5
54,Portal,Schedule,Support,"Customers get confused about the ""Bookable in Advance"" option.",Customer,1,1,1,3
55,Portal,Schedule,Product,Customers can't edit the recurrence of an event in the schedule after it has been created.,Customer,1,2,3,6
56,Portal,Schedule,Process,Customers need to leave empty some information in order to set a new activity up properly but they don't know what specifically.,Customer,1,2,3,6
57,Portal,Schedule,Product,Customers use the same interface to create a new activity from the schedule and to create a new activity from Workout Plans.,Customer,1,2,3,6
58,Portal,Schedule Settings,Support,"Customers don't understand the ""Compact View"" feature.",Customer,1,1,1,3
59,Portal,Schedule Settings,Process,Customers can't duplicate Custom Events.,Customer,1,2,3,6
60,Portal,Webshop,Support,Customers don’t know what the toggle button for each category does.,Customer,1,1,1,3
61,Portal,Webshop,Process,Customers can't duplicate categories.,Customer,1,2,3,6
62,Portal,Webshop,Process,Customers can't add in bulk several products to their categories.,Customer,1,2,3,6
63,Portal,Webshop,Product,Customer's clients can’t enter discount codes in the webshop.,Customer,1,1,2,4
64,Portal,Webshop,Support,Customers get confused because the Shop-In-House link is not explained.,Customer,1,1,1,3
65,Portal,Webshop,Product,Deactivated memberships by the customer still appear.,Customer,1,1,3,5
66,Portal,Webshop,Product,Deactivated memberships by the customer can still be purchased.,Customer,1,1,3,5
67,Portal,Point of Sale,Process,Customers can’t duplicate products.,Customer,1,2,3,6
68,Portal,Community,Product,Customers don't notice the “Add Challenge” button because it doesn’t follow design standard.,Customer,1,1,1,3
69,Portal,Community,Process,Customers can't duplicate challenges.,Customer,1,2,3,6
70,Portal,Community,Process,Customers can't duplicate groups.,Customer,1,2,3,6
71,Portal,My Profile,Process,Customers have to click three times to upload a progress picture.,Customer,1,1,2,4
72,Portal,My Profile,Process,Customers have to click three times to upload a picture in a blog.,Customer,1,1,2,4
73,Portal,My Profile,Process,Customers have to click three times to upload or change a profile picture.,Customer,1,1,2,4
74,Portal,My Profile,Process,Customers have to click three times to upload or change a cover photo.,Customer,1,1,2,4
75,Portal,My Sports,Product,Customers see a very small and plain list for selecting sports.,Customer,1,1,1,3
76,Portal,My Sports,Product,Customers are unable to search for specific sports.,Customer,1,2,1,4
77,Portal,Progress Tracker,Product,Customers can’t search for specific values.,Customer,1,2,1,4
78,Portal,Progress Tracker,Product,The list lack visible organization or categorization.,Customer,1,1,1,3
79,Portal,Meal Plans,Process,Customers can't duplicate meal plans.,Customer,1,2,3,6
80,Portal,Meal Plans,Process,Customers can't add a product to several meal times during the day at once.,Customer,1,3,3,7
81,Portal,Meal Plans,Product,Customers can't define multiple food options within the same mealtime without the system aggregating total calories.,Customer,1,3,3,7
82,Portal,Leads,Product,"Customers see the same ""Add"" button in two different places of the interface that lead to the same page.",Customer,1,1,1,3
83,Portal,Clients,Process,Customers can’t assign a coach to multiple clients in bulk.,Customer,2,3,3,8
84,Portal,My Business,Product,"Customers feel unsure about adding a different link that is not Facebook due to the title ""Facebook page"".",Customer,1,1,1,3
85,Portal,My Business,Product,Customers can't add more than one social media link.,Customer,1,1,2,4
86,Portal,My Business,Support,Customers don’t understand what variables are.,Customer,1,2,1,4
87,Portal,My Business,Process,Customers can't set the same time range for multiple days at once.,Customer,1,2,2,5
88,Portal,Mobile App Design & Portal Design,Process,Customers get confused by the inconsistency between color selection methods.,Customer,1,1,2,4
89,Portal,Mobile App Design & Portal Design,Process,Customers must configure colors individually in multiple sections.,Customer,1,3,2,6
90,Portal,Mobile App,Product,Deleted titles continue to show up as unused options each time customers click the Add New Title button.,Customer,1,2,2,5
91,Portal,Mobile App,Process,Customers can’t delete unused titles in bulk.,Customer,1,2,3,6
92,Fitness App,Log In,Process,"Customers have to re-enter personal information like weight, height, age and gender each time they log in.",Customer,1,3,2,6
93,Fitness App,Workouts,Product,"Customers don't know how to pause a workout in the app, as the pause icon is not visible.",Customer,1,1,2,4
94,Nutrition App,-,Financial,"The ""Food App"" does not appear among the top search results.",Customer,1,2,3,6
95,Nutrition App,-,Product,"The ""Food App"" name does not follow the same naming convention as other Virtuagym apps.",Customer,1,1,1,3
96,VG Pay,-,Support,Customers get lost with the VG Pay application steps and Ayden documentation.,Customer,3,3,3,9
97,VG Pay,-,Process,Customers face delays in the internal approval process for VG Pay.,Customer,3,3,3,9
98,VG Pay,-,Process,Consultants often adopt an intermediary role between VG Pay experts and customers.,Consultant,3,3,3,9
99,Other,-,Process,Customers experience challenges when dealing with third-party services.,Customer,3,3,3,9
100,Other,-,Support,Customers feel lost about the setps and requirements to configure their custom mobile app on Apple devices.,Customer,2,3,3,8
101,Other,-,Process,Customers make mistakes when completing the document to import contracts.,Customer,2,3,3,8
102,Other,-,Process,Consultants struggle looking for information across CS support platforms.,Consultant,1,2,3,6
103,Other,-,Support,Consultants frequently encounter outdated information in the CS support platforms.,Consultant,1,2,3,6
104,Other,-,Financial,Smaller and independent customers often struggle to understand financial processes.,Customer,2,3,3,8
105,Other,-,Support,Consultants lack sufficient training about business models.,Consultant,1,3,3,7
